,chemicalFormula,references,Crystallinity,Electrical conductivity,Electrical conductivity-conditions,Electrical conductivity-dataType,Electrical conductivity-units,Electrical resistivity,Electrical resistivity-conditions,Electrical resistivity-dataType,Electrical resistivity-units,Power factor,Power factor-conditions,Power factor-dataType,Power factor-units,Preparation method,Seebeck coefficient,Seebeck coefficient-conditions,Seebeck coefficient-dataType,Seebeck coefficient-units,Space group,Thermal conductivity,Thermal conductivity-conditions,Thermal conductivity-dataType,Thermal conductivity-units,Thermoelectric figure of merit (zT),Thermoelectric figure of merit (zT)-conditions,Thermoelectric figure of merit (zT)-dataType
818,Pb0.97Sr0.02TeNa0.01,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1038/nature11439', 'doi': '10.1038/nature11439'}]}]",Polycrystalline,2.4420E+03,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.0004095,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.1292E-03,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,Melting,68.00,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,225,3.06500E+00,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,1.10523E-01,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL
819,Ca0.9In0.1MnO3,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1006/jssc.1995.1384', 'doi': '10.1006/jssc.1995.1384'}]}]",Polycrystalline,5.7659E+00,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.173432861,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,3.1755E-05,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, air",-234.678,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,62,,,,,,,
820,La3Te3.65Sb0.35,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1103/PhysRevB.81.125205', 'doi': '10.1103/PhysRevB.81.125205'}]}]",Polycrystalline,7.2993E+02,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.00137,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,2.4555E-04,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, Ar",-58.00,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,220,2.06,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.047679116,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL
821,CaMnO3,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1006/jssc.1995.1384', 'doi': '10.1006/jssc.1995.1384'}]}]",Polycrystalline,3.4845E-01,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,S/cm,2.869819259,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,7.4051E-06,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, air",-460.992,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,62,3.1783,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.00093196,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL
822,Pb0.98TeNa0.02,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1038/nature11439', 'doi': '10.1038/nature11439'}]}]",Polycrystalline,1.7360E+03,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.000576037,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.9139E-03,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,Melting,105.00,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,225,3.18000E+00,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,2.40747E-01,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL
823,Ca2.4Na0.3Bi0.3Co4O9,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1063/1.1480115', 'doi': '10.1063/1.1480115'}]}]",Polycrystalline,1.0687E+02,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.009357,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.8621E-04,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, air",132.00,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,12,2,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.027932029,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL
824,Ca0.9Pb0.1MnO3,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1006/jssc.1995.1384', 'doi': '10.1006/jssc.1995.1384'}]}]",Polycrystalline,1.9059E+01,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.052469201,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.3501E-04,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, air",-266.152,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,62,,,,,,,
825,CaYb0.15Mn0.85O3,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1109/ICT.2006.331291', 'doi': '10.1109/ICT.2006.331291'}]}]",Polycrystalline,2.7850E+02,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.00359065,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,6.7305E-05,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,Solid state reaction,-49.1597,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,62,1.57067,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.017140379,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL
826,Zn0.995Al0.005O,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1007/s11664-009-0815-2', 'doi': '10.1007/s11664-009-0815-2'}]}]",Polycrystalline,9.1383E+01,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.010943,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,3.8283E-04,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, vacuum",-204.677,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,186,,,,,,,
827,Ca0.9Ho0.1MnO3,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1016/0022-4596(91)90248-G', 'doi': '10.1016/0022-4596(91)90248-G'}]}]",Polycrystalline,8.6359E+01,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.0115796,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.1337E-04,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,Solid state reaction,-114.58,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,62,1.470944215,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.0770762,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL
828,Zr0.4Hf0.4Ti0.2NiSn,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1016/j.jallcom.2004.05.078', 'doi': '10.1016/j.jallcom.2004.05.078'}]}]",Polycrystalline,1.1400E+02,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.00877175,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,3.7661E-04,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Arc-melted, Ar",-181.756,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,216,,,,,,,
829,NbCo1.10Sn,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1063/1.2828713', 'doi': '10.1063/1.2828713'}]}]",Single crystal,5.4262E+02,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.0018429,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.9418E-03,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,Floating zone melting,-189.172,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,216,6.23152,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.218130295,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL
830,LiMn2O4,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1039/c2jm16297k', 'doi': '10.1039/c2jm16297k'}]}]",Polycrystalline,2.7807E+00,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.359618,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,2.0002E-06,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,Solid state reaction (oxalates),-84.81,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,227,,,,,,,
831,Mg2Si0.995Bi0.005,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1039/C1JM10827A', 'doi': '10.1039/C1JM10827A'}]}]",Polycrystalline,2.5253E+03,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.000396,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.7607E-03,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Mechanochemical, Ar",-83.50,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,225,5.41,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.130178868,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL
832,NbCo1.10Sn,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1063/1.2828713', 'doi': '10.1063/1.2828713'}]}]",Single crystal,9.0071E+02,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.00111024,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.5402E-03,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,Floating zone melting,-130.766,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,216,5.80227,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.07963356,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL
833,In0.3Co4Sb12,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1021/cm052055b', 'doi': '10.1021/cm052055b'}]}]",Polycrystalline,5.5761E+02,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.00179338,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,3.4104E-03,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,Solid state reaction,-247.31,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,204,2.15872,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.631923014,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL
834,CaMn0.98Ru0.02O3,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1016/S0025-5408(02)00997-2', 'doi': '10.1016/S0025-5408(02)00997-2'}]}]",Polycrystalline,3.5714E+01,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.0279999,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.6313E-04,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,Solid state reaction,-213.72,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,62,,,,,,,
835,Nd2CuO4,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1002/chin.200318015', 'doi': '10.1002/chin.200318015'}]}]",Polycrystalline,4.1024E+01,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.0243757,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,4.0782E-05,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, air",-99.70,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,139,4.19,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.006813229,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL
836,Ca4.95Na0.05Al2Sb6,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1002/adfm.201000970', 'doi': '10.1002/adfm.201000970'}]}]",Polycrystalline,4.4643E+01,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.0224,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,2.1588E-04,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, Ar",219.90,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,55,1.2,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.071958348,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL
837,Sr0.95La0.05TiO3,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1016/S0925-8388(02)00972-6', 'doi': '10.1016/S0925-8388(02)00972-6'}]}]",Polycrystalline,2.2587E+02,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.004427365,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,7.9831E-04,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, Ar",-188,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,221,,,,,,,
838,Ti0.98Nb0.02NiSn,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1016/j.jallcom.2008.02.041', 'doi': '10.1016/j.jallcom.2008.02.041'}]}]",Polycrystalline,1.0413E+03,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.000960366,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,3.1639E-03,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Arc-melted, vacuum",-174.312,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,216,5.975,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.529517135,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL
839,La0.9Bi0.1NiO3,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1557/PROC-793-S3.3', 'doi': '10.1557/PROC-793-S3.3'}]}]",Polycrystalline,3.7415E+02,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.0026727,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.6418E-05,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Evaporate nitrates (1173 K, air)",-20.95,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,167,,,,,,,
840,CuCrO2,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1109/ICT.2006.331288', 'doi': '10.1109/ICT.2006.331288'}]}]",Polycrystalline,6.0082E-01,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,S/cm,1.66438,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,2.2904E-05,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, air",617.422,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,166,3.7083,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.00617642,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL
841,Ca0.9Yb0.1MnO3,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1063/1.2362922', 'doi': '10.1063/1.2362922'}]}]",Polycrystalline,1.2114E+02,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.00825472,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,2.0484E-04,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,Solid state reaction,-130.04,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,62,1.58808,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.128986958,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL
842,Ba8Ga18Ge28,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1109/ICT.2002.1190269', 'doi': '10.1109/ICT.2002.1190269'}]}]",Polycrystalline,1.2880E+02,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.007764,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,8.0180E-05,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,Arc melting,-78.90,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,223,1.5,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.01603609,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL
843,Ca0.92La0.08MnO3,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://www.jmst.org/EN/Y2009/V25/I04/0535'}]}]",Polycrystalline,7.3356E+01,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.013632206,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.0294E-04,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,Solid state reaction,-118.46,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,62,,,,,,,
844,Zn0.99Al0.01O,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1007/s11664-009-0815-2', 'doi': '10.1007/s11664-009-0815-2'}]}]",Polycrystalline,1.2568E+02,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.00795678,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,2.7164E-04,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, vacuum",-147.016,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,186,,,,,,,
845,Sr3Ti1.6Nb0.4O7,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1063/1.3117943', 'doi': '10.1063/1.3117943'}]}]",Polycrystalline,2.3300E+02,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.004291845,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,2.2515E-04,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, Ar",-98.3,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,221,2.72,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.057941815,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL
